Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Finra fee (EUR),Notes,ID
Deposit,2020-09-22 13:22:07,,,,,,,,,1.00,,,1.00,,"Bank Transfer",d45ea44e-d34b-466c-9740-23238d46dc9d
Deposit,2020-09-22 13:24:00,,,,,,,,,1.00,,,1.00,,"Bank Transfer",c45d5bdd-0945-4a95-9c66-704199ffbbb4
Market buy,2020-09-22 13:34:45,US88688T1007,TLRY,"Tilray",1.0000000000,5.01,USD,1.17495,,4.26,,,,,,EOF443101103
Deposit,2020-09-22 13:34:45,,,,,,,,,4.27,,,4.27,,"Free Shares Promotion",c1020d47-f6eb-401f-b3f4-c773564ba9a5
Market sell,2020-09-22 14:45:47,US88688T1007,TLRY,"Tilray",1.0000000000,4.90,USD,1.17103,-0.08,4.18,,,,,,EOF443648905
Market buy,2020-09-22 14:46:34,US88160R1014,TSLA,"Tesla",0.0168276000,424.39,USD,1.17073,,6.10,,,,,,EOF443653460
Market sell,2020-09-22 17:08:13,US88160R1014,TSLA,"Tesla",0.0168276000,426.15,USD,1.17085,0.02,6.12,,,,,,EOF444140144
Market buy,2020-09-22 17:10:13,US88160R1014,TSLA,"Tesla",0.0170056000,426.84,USD,1.17076,,6.20,,,,,,EOF444144484
Deposit,2020-09-30 13:19:59,,,,,,,,,999.99,,,999.99,,"Bank Transfer",3f297722-8512-4dbf-931d-9f4d342bbfda
Market buy,2020-10-02 13:32:22,US88160R1014,TSLA,"Tesla",0.2760000000,425.00,USD,1.17139,,100.14,,,,,,EOF466100657
Limit buy,2020-10-02 13:37:09,US62914V1061,NIO,"NIO Inc",5.0000000000,21.50,USD,1.17131,,91.78,,,,,,EOF466237410
Market sell,2020-10-02 14:23:51,US62914V1061,NIO,"NIO Inc",1.0000000000,21.94,USD,1.17134,0.37,18.73,,,,,,EOF466720337
Market buy,2020-10-02 14:26:11,US62914V1061,NIO,"NIO Inc",1.0000000000,22.04,USD,1.17082,,18.82,,,,,,EOF466737646
Market sell,2020-10-05 13:49:47,US88160R1014,TSLA,"Tesla",0.0930000000,429.40,USD,1.17849,0.14,33.89,,,,,,EOF469519271
Market buy,2020-10-05 14:23:18,US88160R1014,TSLA,"Tesla",0.0999000000,428.91,USD,1.17883,,36.35,,,,,,EOF469796427
Market buy,2020-10-06 07:01:23,IE00B1XNHC34,INRG,"iShares Global Clean Energy",5.0000000000,886.50,GBX,90.71699,,48.86,,,,,,EOF471090428
Limit buy,2020-10-06 07:05:20,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",2.0000000000,49.63,GBP,0.90695,,109.44,,,,,,EOF471123553
Market buy,2020-10-07 14:30:24,US72919P2020,PLUG,"Plug Power",1.0000000000,17.49,USD,1.17627,,14.87,,,,,,EOF475328376
Market sell,2020-10-07 14:35:09,US72919P2020,PLUG,"Plug Power",1.0000000000,17.51,USD,1.17677,0.01,14.88,,,,,,EOF475360652
Market buy,2020-10-07 14:37:55,KYG8651P1101,SPI,"SPI Energy",2.0000000000,8.38,USD,1.17622,,14.25,,,,,,EOF475379515
Market buy,2020-10-07 14:41:33,KYG8651P1101,SPI,"SPI Energy",1.0000000000,8.23,USD,1.17647,,7.00,,,,,,EOF475402899
Market sell,2020-10-07 14:47:22,KYG8651P1101,SPI,"SPI Energy",1.0000000000,8.33,USD,1.17615,0.00,7.08,,,,,,EOF475435857
Market sell,2020-10-07 14:56:58,KYG8651P1101,SPI,"SPI Energy",1.0000000000,8.33,USD,1.17601,-0.01,7.08,,,,,,EOF475486412
Market sell,2020-10-07 14:58:23,KYG8651P1101,SPI,"SPI Energy",1.0000000000,8.38,USD,1.17607,0.05,7.13,,,,,,EOF475493412
Market buy,2020-10-07 15:35:01,US72919P2020,PLUG,"Plug Power",1.0000000000,17.71,USD,1.17665,,15.05,,,,,,EOF475692785
Market sell,2020-10-07 15:39:45,US72919P2020,PLUG,"Plug Power",1.0000000000,17.77,USD,1.17708,0.05,15.10,,,,,,EOF475713911
Market buy,2020-10-07 16:33:22,KYG8651P1101,SPI,"SPI Energy",1.0000000000,8.04,USD,1.17692,,6.83,,,,,,EOF475914377
Market sell,2020-10-07 17:03:54,KYG8651P1101,SPI,"SPI Energy",1.0000000000,8.24,USD,1.17740,0.17,7.00,,,,,,EOF476000243
Market buy,2020-10-07 17:04:20,US72919P2020,PLUG,"Plug Power",2.0000000000,17.82,USD,1.17724,,30.27,,,,,,EOF476001841
Market buy,2020-10-07 17:15:39,US72919P2020,PLUG,"Plug Power",1.0000000000,17.72,USD,1.17726,,15.05,,,,,,EOF476036739
Limit buy,2020-10-07 17:59:08,KYG8651P1101,SPI,"SPI Energy",7.0000000000,8.06,USD,1.17665,,47.95,,,,,,EOF476165816
Market sell,2020-10-07 19:01:53,US72919P2020,PLUG,"Plug Power",1.0000000000,17.87,USD,1.17695,0.07,15.18,,,,,,EOF476345339
Limit buy,2020-10-08 09:38:47,IE00B1XNHC34,INRG,"iShares Global Clean Energy",15.0000000000,963.50,GBX,90.91309,,158.97,,,,,,EOF477021845
Limit buy,2020-10-08 13:38:32,US4831191030,KALA,"Kala Pharmaceuticals",6.0000000000,8.90,USD,1.17426,,45.48,,,,,,EOF477747824
Limit buy,2020-10-08 13:45:36,US34960Q1094,FBIO,"Fortress Biotech",13.0000000000,4.55,USD,1.17401,,50.38,,,,,,EOF477843009
Limit buy,2020-10-08 13:49:08,US84763A1088,SPPI,"Spectrum Pharmaceuticals ",13.0000000000,4.35,USD,1.17389,,48.17,,,,,,EOF477888813
Limit buy,2020-10-08 14:01:03,US9616842061,WWR,"Westwater Resources ",2.0000000000,10.37,USD,1.17417,,17.66,,,,,,EOF478007975
Limit sell,2020-10-08 19:00:22,US9616842061,WWR,"Westwater Resources ",2.0000000000,8.45,USD,1.17586,-3.29,14.37,,,,,,EOF479211104
Limit sell,2020-10-12 14:25:30,US84763A1088,SPPI,"Spectrum Pharmaceuticals ",13.0000000000,4.50,USD,1.18085,1.37,49.54,,,,0.00,,EOF484067651
Limit buy,2020-10-12 14:31:45,US4831191030,KALA,"Kala Pharmaceuticals",1.0000000000,8.33,USD,1.18095,,7.05,,,,,,EOF484107277
Limit sell,2020-10-12 14:34:00,US4831191030,KALA,"Kala Pharmaceuticals",1.0000000000,8.33,USD,1.18084,-0.45,7.05,,,,0.00,,EOF484119529
Market buy,2020-10-12 14:35:14,US4831191030,KALA,"Kala Pharmaceuticals",1.0000000000,8.35,USD,1.18086,,7.07,,,,,,EOF484126129
Limit sell,2020-10-12 14:37:17,US4831191030,KALA,"Kala Pharmaceuticals",1.0000000000,8.36,USD,1.18109,-0.36,7.08,,,,0.00,,EOF484138856
Limit sell,2020-10-12 16:44:27,US72919P2020,PLUG,"Plug Power",2.0000000000,17.85,USD,1.18134,0.01,30.22,,,,0.00,,EOF484681057
Limit buy,2020-10-13 13:33:59,US00287Y1091,ABBV,"AbbVie",1.0000000000,88.10,USD,1.17661,,74.88,,,,,,EOF486171812
Limit buy,2020-10-14 13:46:18,US00547W2089,ADMP,"Adamis",20.0000000000,0.95,USD,1.17607,,16.14,,,,,,EOF488673907
Limit sell,2020-10-14 14:13:30,US62914V1061,NIO,"NIO Inc",1.0000000000,25.05,USD,1.17641,2.84,21.29,,,,,,EOF488866725
Market buy,2020-10-14 14:27:15,US62914V1061,NIO,"NIO Inc",1.0000000000,25.24,USD,1.17592,,21.46,,,,,,EOF488948690
Limit buy,2020-10-14 14:29:21,US62914V1061,NIO,"NIO Inc",1.0000000000,25.00,USD,1.17567,,21.26,,,,,,EOF488959902
Limit buy,2020-10-14 15:15:27,US7561091049,O,"Realty Income",1.0000000000,60.99,USD,1.17653,,51.84,,,,,,EOF489147964
Limit buy,2020-10-14 15:23:27,US00123Q1040,AGNC,"AGNC Investment",2.0000000000,14.12,USD,1.17638,,24.01,,,,,,EOF489177715
Market buy,2020-10-14 15:36:33,US8585681088,SCM,"Stellus Capital Investment",3.0000000000,8.69,USD,1.17596,,22.17,,,,,,EOF489245767
Market buy,2020-10-14 15:49:06,US0378331005,AAPL,"Apple",0.1000000000,121.02,USD,1.17572,,10.29,,,,,,EOF489314775
Market sell,2020-10-14 16:07:29,US0378331005,AAPL,"Apple",0.1000000000,121.23,USD,1.17581,0.02,10.31,,,,,,EOF489393445
Market buy,2020-10-14 16:26:09,US0378331005,AAPL,"Apple",0.1000000000,120.03,USD,1.17464,,10.22,,,,,,EOF489460953
Market sell,2020-10-14 16:34:13,US0378331005,AAPL,"Apple",0.1000000000,120.42,USD,1.17500,0.03,10.25,,,,,,EOF489489390
Market sell,2020-10-15 13:41:48,KYG8651P1101,SPI,"SPI Energy",7.0000000000,11.01,USD,1.16949,17.95,65.90,,,,,,EOF491088475
Market buy,2020-10-19 14:39:50,US88160R1014,TSLA,"Tesla",0.1000000000,439.14,USD,1.17834,,37.27,,,,,,EOF496051118
Limit sell,2020-10-19 14:55:43,US62914V1061,NIO,"NIO Inc",1.0000000000,27.64,USD,1.17806,4.04,23.46,,,,,,EOF496152090
Market sell,2020-10-20 13:42:05,US62914V1061,NIO,"NIO Inc",1.0000000000,27.93,USD,1.18178,4.21,23.63,,,,,,EOF498148153
Market buy,2020-10-20 13:43:20,US88160R1014,TSLA,"Tesla",0.1000000000,425.59,USD,1.18170,,36.02,,,,,,EOF498158409
Market buy,2020-10-20 13:55:18,US62914V1061,NIO,"NIO Inc",2.0000000000,27.63,USD,1.18156,,46.77,,,,,,EOF498247283
Market sell,2020-10-20 13:59:23,US88160R1014,TSLA,"Tesla",0.1000000000,423.90,USD,1.18204,-0.59,35.86,,,,,,EOF498276147
Market sell,2020-10-20 14:19:27,US88160R1014,TSLA,"Tesla",0.1000000000,422.28,USD,1.18353,-0.77,35.68,,,,,,EOF498405909
Market sell,2020-10-21 14:52:54,US88160R1014,TSLA,"Tesla",0.1000000000,428.38,USD,1.18755,-0.38,36.07,,,,,,EOF500768410
Market sell,2020-10-22 15:43:40,US88160R1014,TSLA,"Tesla",0.1999056000,432.42,USD,1.18314,0.18,73.06,,,,,,EOF503191868
Market buy,2020-10-22 15:59:08,US55336V1008,MPLX,"MPLX LP",2.0000000000,17.38,USD,1.18223,,29.40,,,,,,EOF503233022
Market buy,2020-10-22 18:12:09,US00206R1023,T,"AT&T",1.0000000000,28.29,USD,1.18188,,23.94,,,,,,EOF503555320
Market buy,2020-10-22 18:31:20,US12674W1099,CABA,"Cabaletta Bio",1.0000000000,11.80,USD,1.18196,,9.98,,,,,,EOF503593862
Market buy,2020-10-23 13:36:17,US62914V1061,NIO,"NIO Inc",1.0000000000,27.17,USD,1.18428,,22.94,,,,,,EOF504634188
Market buy,2020-10-23 14:19:19,US12648L6011,CTIC,"CTI BioPharma ",5.0000000000,3.57,USD,1.18293,,15.09,,,,,,EOF504955978
Market buy,2020-10-23 14:27:53,US8172251055,AIHS,"Senmiao Technology ",10.0000000000,1.22,USD,1.18274,,10.32,,,,,,EOF505003352
Limit buy,2020-10-23 15:14:03,US39986L1098,GRWG,"GrowGeneration",1.0000000000,19.95,USD,1.18391,,16.85,,,,,,EOF505205701
Market buy,2020-10-23 15:43:24,US63008G2030,NNDM,"Nano Dimension ",3.0000000000,4.05,USD,1.18428,,10.26,,,,,,EOF505302740
Market sell,2020-10-23 17:43:21,US63008G2030,NNDM,"Nano Dimension ",3.0000000000,4.07,USD,1.18545,0.04,10.30,,,,,,EOF505552068
Limit sell,2020-10-23 17:45:57,US39986L1098,GRWG,"GrowGeneration",1.0000000000,20.01,USD,1.18550,0.03,16.88,,,,0.00,,EOF505556254
Limit buy,2020-10-23 17:47:43,US39986L1098,GRWG,"GrowGeneration",1.0000000000,20.00,USD,1.18536,,16.87,,,,,,EOF505559180
Market sell,2020-10-23 18:04:14,US12674W1099,CABA,"Cabaletta Bio",1.0000000000,12.07,USD,1.18591,0.20,10.18,,,,,,EOF505591009
Limit buy,2020-10-23 19:00:29,US12674W1099,CABA,"Cabaletta Bio",1.0000000000,12.00,USD,1.18581,,10.12,,,,,,EOF505693185
Market buy,2020-10-26 14:03:07,US88160R1014,TSLA,"Tesla",0.2000000000,424.49,USD,1.18201,,71.83,,,,,,EOF507207886
Market sell,2020-10-26 17:09:32,US39986L1098,GRWG,"GrowGeneration",1.0000000000,18.37,USD,1.18244,-1.33,15.54,,,,,,EOF508070407
Market sell,2020-10-27 08:09:37,IE00B1XNHC34,INRG,"iShares Global Clean Energy",1.0000000000,874.00,GBX,90.82260,-0.77,9.62,,,,,,EOF508669418
Limit sell,2020-10-27 08:49:51,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",2.0000000000,49.66,GBP,0.90713,0.05,109.49,,,,,,EOF508759498
